id_active_ingredient,active_ingredient,active_ingredient_eng
83,NIFEDIPINO,
84,CARBÔMER 940,
85,BRENTUXIMABE VEDOTINA,
86,CLORETO CRÔMICO HEXAIDRATADO,
87,CLORETO CÚPRICO,
88,CLORETO DE ZINCO,
89,CLORETO FÉRRICO,
90,FLUORETO DE SÓDIO,
91,IODETO DE POTÁSSIO,
92,SELENITO DE SÓDIO,
93,DICLORETO DE MANGANÊS TETRAIDRATADO,
94,MOLIBDATO DE SÓDIO DIIDRATADO,
95,ADENOSINA,
96,BARYTA CARBONICA,
97,BERBERIS VULGARIS L.,
98,CALCAREA CARBONICA,
99,MERCURIUS SULPHURATUS RUBER,
100,LINEZOLIDA,
101,DESONIDA,
102,SULFATO DE GENTAMICINA,
103,PANTOPRAZOL,
104,IBUPROFENO,
105,INSULINA LISPRO,
106,GESTODENO,
107,CLORIDRATO DE TRAMADOL,
108,DICLOFENACO SÓDICO,
109,EPINEFRINA,
110,ACEPONATO DE METILPREDNISOLONA,
111,ALFAOCTOCOGUE,
112,ALFARURIOCTOCOGUE PEGOL,
113,SULFATO DE SALBUTAMOL,
114,BROMETO DE IPRATRÓPIO,
115,SULFATO DE SALBUTAMOL MICRONIZADO,
116,SOLUCAO DE SALBUTAMOL,
117,EVEROLIMO,
118,IBANDRONATO DE SÓDIO,
119,INSULINA HUMANA,
120,CLORIDRATO DE OXIMETAZOLINA,
121,ALFALONOCTOCOGUE,
122,CLORIDRATO DE PROCAÍNA,
123,MENTOL,
124,TARTARATO DE BISMUTO E SÓDIO,
125,AGAR-AGAR,
126,PICOSSULFATO DE SÓDIO,
127,ÓLEO MINERAL LEVE,
128,PLANTAGO OVATA FORSSK.,
129,CLORIDRATO DE PIOGLITAZONA,
130,ACARBOSE,
131,AGOMELATINA,
132,CLORIDRATO DE TIROFIBANA,
133,CLORIDRATO DE ANAGRELIDA,
134,CINCHONA CALISAYA WEDD.,
135,ÁGUA PARA INJETÁVEIS,
136,ÁGUA PARA INJEÇÃO,
137,ÁGUA ESTÉRIL PARA INJEÇÃO,
138,FOSFATO DE CODEÍNA,
139,PARACETAMOL,
140,CITRATO DE SILDENAFILA,
141,DIPROPIONATO DE BECLOMETASONA,
142,ARIPIPRAZOL,
143,FREMANEZUMABE,
144,PACLITAXEL,
145,CLORIDRATO DE PALONOSETRONA,
146,NETUPITANTO,
147,DIENOGESTE,
148,ALBENDAZOL,
149,POLICRESULENO,
150,POLICRESULENO A 36%,
151,ALBUMINA HUMANA,
152,ALBUNEX,
153,CYNARA SCOLYMUS L.,
154,BROMIDRATO DE CITALOPRAM,
155,ESPIRONOLACTONA,
156,HIDROCLOROTIAZIDA,
157,ALGESTONA ACETOFENIDA,
158,ENANTATO DE ESTRADIOL,
159,METILDOPA,
160,ESPIRINOLACTONA,
161,LARONIDASE,
162,BILASTINA,
163,ALENDRONATO SÓDICO TRIHIDRATADO,
164,CARBONATO DE CÁLCIO,
165,ALENDRONATO DE SÓDIO TRI-HIDRATADO,
166,ALENDRONATO DE SÓDIO,
167,CLORIDRATO DE VENLAFAXINA,
168,DESLORATADINA,
169,LORATADINA,
170,PREDNISONA,
171,BETAMETASONA,
172,MALEATO DE DEXCLORFENIRAMINA,
173,LEVOFLOXACINO HEMIIDRATADO,
174,ALFAEPOETINA,
175,ERITROPOETINA HUMANA RECOMBINANTE,
176,ALFAESTRADIOL,
177,ALFAINTERFERONA 2B,
178,CLORIDRATO DE ALFENTANILA MONOIDRATADA,
179,ALPRAZOLAM,
180,BUTIL BROMETO DE ESCOPOLAMINA,
181,DIPIRONA MONOIDRATADA,
182,CETOPROFENO,
183,LISINATO DE CETOPROFENO,
184,CAFEÍNA,
185,HEPARINA SÓDICA SUÍNA,
186,PEMETREXEDE,
187,CÂNFORA,
188,SALICILATO DE METILA,
189,MELFALANA,
190,CLORIDRATO DE FEXOFENADINA,
191,MINOXIDIL,
192,CLORIDRATO DE MEMANTINA,
193,CLORIDRATO DE DONEPEZILA,
194,CLORIDRATO DE DONEPEZILA MONOIDRATADO,
195,PREGABALINA,
196,ALOPURINOL,
197,CLORIDRATO DE BUPROPIONA,
198,TARTARATO DE BRIMONIDINA,
199,CLORIDRATO DE LIDOCAINA,
200,FATOR VIII DE COAGULAÇÃO,
201,FATOR DE VON WILLEBRAND,
202,FATOR IX DE COAGULAÇÃO,
203,ALPHANINE SD,
204,ALPROSTADIL,
205,DECITABINA,
206,BROMIDRATO DE GALANTAMINA,
207,GLIMEPIRIDA,
208,TOPIRAMATO,
209,ANFOTERICINA B,
210,CLORIDRATO DE AMBROXOL,
211,ADALIMUMABE,
212,CIANOCOBALAMINA,
213,AMINOFILINA,
214,ACETATO DE LISINA,
215,ALANINA,
216,ARGININA,
217,FENILALAMINA,
218,GLICINA,
219,HISTIDINA,
220,ISOLEUCINA,
221,LEUCINA,
222,LEVOVALINA,
223,PROLINA,
224,SERINA,
225,TREONINA,
226,TRIPTOFANO,
227,METIONINA (11 C),
228,FENILALANINA,
229,L-ALANINA,
230,L-FENILALANINA,
231,L-HISTIDINA,
232,L-ISOLEUCINA,
233,L-LEUCINA,
234,L-METIONINA,
235,L-PROLINA,
236,L-SERINA,
237,L-TREONINA,
238,L-TRIPTOFANO,
239,TAURINA,
240,TIROSINA,
241,CLORIDRATO DE AMIODARONA,
242,LUBIPROSTONA,
243,LISINA,
244,VALINA,
245,ÁCIDO ASPÁRTICO,
246,ÁCIDO GLUTÂMICO,
247,BESILATO DE AMLODIPINA,
248,DROSPIRENONA,
249,FUROATO DE MOMETASONA MONOIDRATADO,
250,AMOXICILINA TRIHIDRATADA,
251,AMOXICILINA,
252,AMPICILINA,
253,AMPICILINA ANIDRA,
254,AMPICILINA BENZATINA,
255,AMPICILIN,
256,AMPICILINA SÓDICA,
257,SULBACTAM SÓDICO,
258,CLORIDRATO DE CLORPROMAZINA,
259,NITRATO DE MICONAZOL,
260,TINIDAZOL,
261,CEFTRIAXONA,
262,CLORIDRATO DE PROPRANOLOL,
263,CLORIDRATO DE AMITRIPTILINA,
264,CAFEÍNA ANIDRA,
265,CITRATO DE ORFENADRINA,
266,CLORIDRATO DE CLOMIPRAMINA,
267,ANASTROZOL,
268,CLORIDRATO DE AMILORIDA,
269,CLORIDRATO DE ISOTIPENDIL,
270,SUCCINATO DE DESVENLAFAXINA MONOIDRATADO,
271,CLORIDRATO DE TRAZODONA,
272,BENZOCAÍNA,
273,TRICLOSANA,
274,HEXILRESORCINOL,
275,PROPIONATO DE SÓDIO,
276,UNDECILENATO DE SÓDIO,
277,ÁCIDO PROPIÔNICO,
278,ÁCIDO UNDECILÊNICO,
279,SUCCINATO SÓDICO DE HIDROCORTISONA,
280,NORFLOXACINO,
281,TESTOSTERONA,
282,TRIBULUS TERRESTRIS L.,
283,CLORIDRATO DE DORZOLAMIDA,
284,SULFATO FERROSO,
285,SULFATO FERROSO HEPTAIDRATADO,
286,SEVOFLURANO,
287,CITRATO DE FENTANILA,
288,CLORIDRATO DE PROXIMETACAÍNA,
289,CLORIDRATO DE FENILEFRINA,
290,CLORIDRATO DE TETRACAÍNA,
291,CLORIDRATO DE ROPIVACAÍNA,
292,ESTRADIOL HEMI-HIDRATADO,
293,CLORIDRATO DE BENZIDAMINA,
294,MALEATO DE ENALAPRIL,
295,CANDESARTANA CILEXETILA,
296,ANIDULAFUNGINA,
297,NITAZOXANIDA,
298,BROMETO DE UMECLIDÍNIO,
299,TRIFENATATO DE VILANTEROL,
300,CLORIDRATO  DE ONDANSETRONA DI-HIDRATADO,
301,AVENA SATIVA L.,
302,PASSIFLORA ALATA CURTIS,
303,BROMAZEPAM,
304,LORAZEPAM,
305,CLORIDRATO DE BUSPIRONA,
306,LEVETIRACETAM,
307,TOBRAMICINA,
308,CLORIDRATO DE RANITIDINA,
309,CLORETO DE BENZETÔNIO,
310,CLORIDRATO DE LIDOCAÍNA MONOIDRATADA,
311,ANTITROMBINA HUMANA,
312,PROMESTRIENO,
313,LEVODROPROPIZINA,
314,LEVONORGESTREL,
315,CAPTOPRIL,
316,CAPECITABINA,
317,CLORIDRATO DE CIPROEPTADINA,
318,NICOTINAMIDA,
319,VITAMINA B2,
320,VITAMINA B6,
321,VITAMINA C,
322,CLORIDRATO DE PIRIDOXINA,
323,RIBOFLAVINA-5-FOSFATO DE SÓDIO,
324,INSULINA GLULISINA,
325,MIKANIA GLOMERATA SPRENG.,
326,APIXABANA,
327,ACTAEA RACEMOSA L.,
328,MALEATO DE CLORFENIRAMINA,
329,CLORIDRATO DE HIDRALAZINA,
330,IRBESARTANA,
331,DESOGESTREL,
332,VALSARTANA,
333,LOSARTAN POTÁSSICO,
334,LOSARTANA POTÁSSICA,
335,HEMITARTARATO DE METARAMINOL,
336,ALFADARBEPOETINA,
337,LEFLUNOMIDA,
338,SULBUTIAMINA,
339,ETORICOXIBE,
340,CLORIDRATO DE SAXAGLIPTINA DI-HIDRATADA,
341,PROPILENOGLICOLATO DE DAPAGLIFLOZINA MONOIDRATADO,
342,NIMESULIDA,
343,ASPARTATO DE ARGININA,
344,BENZILPENICILINA POTÁSSICA,
345,SUCCINATO SÓDICO DE CLORANFENICOL,
346,HIDROCORTISONA,
347,CLORIDRATO DE METOCLOPRAMIDA MONOIDRATADO,
348,FONDAPARINUX SÓDICO,
349,SOLIDAGO MICROGLOSSA DC.,
350,ARNICA MONTANA L.,
351,ARNICA MONTANA,
352,MONTELUCASTE DE SÓDIO,
353,EXEMESTANO,
354,CLORIDRATO DE PAROXETINA,
355,HARPAGOPHYTUM PROCUMBENS DC. EX MEISSN.,
356,HIPROMELOSE,
357,CLORIDRATO DE MEFLOQUINA,
358,ARTESUNATO,
359,CLORIDRATO DE ARTICAÍNA,
360,ARTISAL,
361,FIBRINOGÊNIO,
362,TROMBINA,
363,FATOR XIII DE COAGULAÇÃO,
364,SULFATO DE GLICOSAMINA,
365,MELOXICAM,
366,DIACEREÍNA,
367,SULFATO DE CONDROITINA,
368,OLMESARTANA MEDOXOMILA,
369,FUMARATO DE CETOTIFENO,
370,ÁCIDO ACETILSALICILSALICÍLICO,
371,CLORIDRATO DE SERTRALINA,
372,AZITROMICINA DI-HIDRATADA,
373,BESILATO DE LEVANLODIPINO,
374,CLORIDRATO DE CLONIDINA,
375,BISSULFATO DE CLOPIDOGREL,
376,ATORVASTATINA CÁLCICA,
377,UNDECILATO DE TESTOSTERONA,
378,HEMIFUMARATO DE QUETIAPINA,
379,TACROLIMO MONOIDRATADO,
380,DROPROPIZINA,
381,PEMETREXEDE DISSÓDICO HEMIPENTAIDRATADO,
382,SULFATO DE ATROPINA,
383,BUTILBROMETO DE ESCOPOLAMINA,
384,CLORIDRATO DE METILFENIDATO,
385,ACETATO DE ATOSIBANA,
386,TERIFLUNOMIDA,
387,FENOL,
388,PIPERACILINA SÓDICA,
389,TAZOBACTAM SÓDICO,
390,DEUTETRABENAZINA,
391,CLORIDRATO DE MOXIFLOXACINO,
392,FUROATO DE FLUTICASONA,
393,BEVACIZUMABE,
394,VÍRUS DA HEPATITE A PURIFICADO INATIVADO,
395,SULFATO DE PSEUDOEFEDRINA,
396,RACECADOTRILA,
397,DUTASTERIDA,
398,AXETIL CEFUROXIMA,
399,AXETILCEFUROXIMA,
400,OLANZAPINA,
401,AZTREONAM,
402,ÁCIDO AZELAICO,
403,AZITROMICINA,
404,CLORIDRATO DE AZELASTINA,
405,BRINZOLAMIDA,
406,MALEATO DE TIMOLOL,
407,GLICAZIDA,
408,SULFASSALAZINA,
409,ACETATO DE OCTREOTIDA,
410,ACETATO DE ZINCO,
411,ACITRETINA,
412,TOCILIZUMABE,
413,CRIZANLIZUMABE,
414,RIOCIGUATE,
415,CLORIDRATO DE BIPERIDENO,
416,CLORIDRATO DE ALECTINIBE,
417,BUDESONIDA,
418,FUMARATO DE FORMOTEROL DI-HIDRATADO,
419,FUMARATO DE FORMOTEROL DIIDRATADO,
420,DICLOFENACO DE SÓDIO,
421,NITRATO DE TIAMINA,
422,ACETILTIROSINA,
423,ÁCIDO MÁLICO,
424,TIOCONAZOL,
425,AMMONIUM MURIATICUM,
426,ANTIMONIUM CRUDUM,
427,AURUM METALLICUM,
428,KALIUM CARBONICUM,
429,MERCURIUS SOLUBILIS,
430,NATRUM MURIATICUM,
431,SULPHUR,
432,CLORIDRATO DE TRIEXIFENIDIL,
433,LATANOPROSTA,
434,FELODIPINO,
435,BETAINTERFERONA 1A,
436,INFLIXIMABE,
437,AZACITIDINA,
438,MESILATO DE RASAGILINA,
439,CARBOPLATINA,
440,CLORIDRATO DE LEVOBUNOLOL,
441,PANTOTENATO DE CALCIO,
442,VITAMINA B1,
443,CLORETO DE POTÁSSIO,
444,CLORETO DE SÓDIO,
445,CLORETO DE CÁLCIO DIIDRATADO,
446,SULFAMETOXAZOL,
447,TRIMETOPRIMA,
448,BACITRACINA ZÍNCICA,
449,NEOMICINA,
450,BACITRACINA,
451,BACLOFENO,
452,MUPIROCINA,
453,TEICOPLANINA,
454,CLORIDRATO DE BAMIFILINA,
455,ENTECAVIR,
456,SULFATO DE BÁRIO,
457,INSULINA GLARGINA,
458,AVELUMABE,
459,GLICOSE,
460,CLORETO DE CÁLCIO,
461,LACTATO DE SÓDIO,
462,SORBITOL,
463,ETOFENAMATO,
464,TARTARATO DE METOPROLOL,
465,DIPROPIONATO DE BETAMETASONA,
466,FOSFATO DISSÓDICO DE BETAMETASONA,
467,SULFATO DE POLIMIXINA B,
468,MESILATO DE IMATINIBE,
469,FOSFATO SÓDICO DE RIBOFLAVINA,
470,MONONITRATO DE TIAMINA,
471,CETOCONAZOL,
472,MEBENDAZOL,
473,BISACODIL,
474,DOCUSATO SODICO,
475,FENOLFTALEÍNA,
476,FUCUS VESICULOSUS L.,
477,SAL,
478,TIREOIDINA,
479,CITRATO DE SÓDIO,
480,CLORETO DE AMÔNIO,
481,CLORIDRATO DE DIFENIDRAMINA,
482,BROMIDRATO DE DEXTROMETORFANO,
483,CITRATO DE SÓDIO DI-HIDRATADO,
484,ALFANONACOGUE,
485,MALEATO DE CARBINOXAMINA,
486,POLICARBOFILA  CÁLCICA,
487,VALERATO DE BETAMETASONA,
488,DICLOFENACO DIETILAMÔNIO,
489,DICLOFENACO POTÁSSICO,
490,BELIMUMABE,
491,TIABENDAZOL,
492,BENZILPENICILINA PROCAÍNA,
493,BENZILPENICILINA BENZATINA,
494,CLORIDRATO DE CICLOBENZAPRINA,
495,CLONIXINATO DE LISINA,
496,BENZOATO DE BENZILA,
497,BENZOATO DE SODIO ASSOCIADO,
498,BENZOILMETRONIDAZOL,
499,DEXPANTENOL,
500,PENICILINA G BENZATINA,
501,CLORIDRATO DE BROMEXINA,
502,CITRULLUS COLOCYNTHIS,
503,VERATRUM ALBUM,
504,CABERGOLINA,
505,APROTININA,
506,FATOR XIII,
507,FATOR II DE COAGULAÇÃO,
508,FATOR VII DE COAGULAÇÃO,
509,FATOR X DE COAGULAÇÃO,
510,PROTEÍNA C,
511,PROTEÍNA S,
512,ACETATO DE CASPOFUNGINA,
513,BROMIDRATO DE FENOTEROL,
514,CARISOPRODOL,
515,THYROIDINUM,
516,ACETATO DE BETAMETASONA,
517,IODOPOVIDONA,
518,DICLORIDRATO DE BETAISTINA,
519,BETAINTERFERONA 1B,
520,GLICLAZIDA,
521,BETAMETASONA ÁLCOOL MICRONIZADA,
522,CLORIDRATO DE BETAXOLOL,
523,BROMETO DE GLICOPIRRÔNIO,
524,DICLOFENACO,
525,PARECOXIBE SÓDICO,
526,BEZAFIBRATO,
527,CLORIDRATO DE BENAZEPRIL,
528,MALEATO DE BRONFENIRAMINA,
529,CLORIDRATO DE CIPROFLOXACINO,
530,CLORIDRATO DE CIPROFLOXACINO MONOIDRATADO,
531,BICARBONATO DE SÓDIO,
532,BICALUTAMIDA,
533,HEMIFUMARATO DE BISOPROLOL,
534,CLORIDRATO DE ONDANSETRONA,
535,BICTEGRAVIR SÓDICO,
536,HEMIFUMARATO DE TENOFOVIR ALAFENAMIDA,
537,ENTRICITABINA,
538,CARBONATO DE LÍTIO,
539,BIMATOPROSTA,
540,FUMARATO DE TENOFOVIR DESOPROXILA,
541,CLORETO DE BENZALCÔNIO,
542,VITAMINA E,
543,ALFATALIGLICERASE,
544,ETANERCEPTE,
545,GOLIMUMABE,
546,RITUXIMABE,
547,SOMATROPINA,
548,TRASTUZUMABE,
549,OXALIPLATINA,
550,DICLOFENACO ÁCIDO,
551,GINKGO BILOBA L.,
552,PEUMUS BOLDUS MOLINA,
553,CLORIDRATO DE SIBUTRAMINA,
554,PANAX GINSENG C. A. MEY.,
555,BACILLUS CEREUS,
556,LAMIVUDINA,
557,ZIDOVUDINA,
558,SULFATO DE ZINCO MONOIDRATADO,
559,CLORETO DE MAGNÉSIO HEXAIDRATADO,
560,FOSFATO DE SÓDIO DIBÁSICO DI-HIDRATADO,
561,CLORIDRATO DE NEBIVOLOL,
562,IMUNOGLOBULINA HUMANA,
563,ÁCIDO ZOLEDRÔNICO,
564,SAL SÓDICO,
565,BLINATUMOMABE,
566,SULFATO DE BLEOMICINA,
567,FOSFATO DE CÁLCIO TRIBÁSICO,
568,IBANDRONATO DE SÓDIO MONOIDRATADO,
569,BORTEZOMIBE,
570,BOSENTANA MONOIDRATADA,
571,TOXINA BOTULÍNICA A,
572,ENCORAFENIBE,
573,TELMISARTANA,
574,CLORIDRATO DE EPIRRUBICINA,
575,LETROZOL,
576,CLORIDRATO DE ESMOLOL,
577,PIROXICAM BETACICLODEXTRINA,
578,SUGAMADEX SÓDICO,
579,TICAGRELOR,
580,ALFACERLIPONASE,
581,BROMIDRATO DE VORTIOXETINA,
582,ANANAS COMOSUS (L.) MERR.,
583,BROMETO DE PINAVÉRIO,
584,BROMETO DE PIPECURONIO,
585,BROMIDRATO DE DARIFENACINA,
586,EUCALIPTOL,
587,TERPINA MONOIDRATADA,
588,BROMOFORMIO,
589,ASSOCIAÇÕES,
590,BROMOPRIDA,
591,LISADO BACTERIANO,
592,GUAIFENESINA,
593,SULFATO DE TERBUTALINA,
594,EUCALYPTUS GLOBULUS LABILL.,
595,ZANUBRUTINIBE,
596,BRYOPHYLLUM CALYCINUM,
597,DICLORIDRATO DE BUCLIZINA,
598,CLARITROMICINA,
599,GLYCINE MAX (L.) MERR.,
600,CLORIDRATO DE BUPIVACAÍNA,
601,HEMITARTARATO DE EPINEFRINA,
602,FENILBUTAZONA CÁLCICA,
603,BELINOSTATE,
604,BIOTINA,
605,CARBONATO DE MAGNÉSIO,
606,VITAMINA B12,
607,VITAMINA B3,
608,CITRATO DE ZINCO TRI-HIDRATADO,
609,ÁCIDO PANTOTÊNICO,
610,BESILATO DE CISATRACÚRIO,
611,INOTUZUMABE OZOGAMICINA,
612,PROTEÍNA DE FUSÃO FHBP RECOMBINANTE DE NEISSERIA MENINGITIDIS GRUPO B,
613,PROTEÍNA DE FUSÃO NHBA RECOMBINANTE DE NEISSERIA MENINGITIDIS GRUPO B,
614,PROTEÍNA NAD A RECOMBINANTE DE NEISSERIA MENINGITIDIS GRUPO B,
615,VESÍCULAS DE MEMBRANA EXTERNA (OMV) DE NEISSERIA MENINGITIDIS GRUPO B,
616,CEPA NZ98/254,
617,FLUDESOXIGLICOSE 18F,
618,BRIVARACETAM,
619,BUSSULFANO,
620,ENXOFRE PRECIPITADO,
621,TEREBENTINA,
622,CINNAMOMUM VERUM J. PRESL,
623,SYZYGIUM AROMATICUM (L.) MERR. & L.M. PERRY,
624,CISPLATINA,
625,CABAZITAXEL,
626,CAPLACIZUMABE,
627,LEVOMALATO DE CABOZANTINIBE,
628,CALAMINA,
629,CALCITONINA SINTÉTICA,
630,ERGOCALCIFEROL,
631,GLICEROFOSFATO DE CÁLCIO,
632,LACTOGLICONATO DE CÁLCIO,
633,DEFLAZACORTE,
634,SALIX ALBA L.,
635,POLIESTIRENOSSULFONATO DE CÁLCIO,
636,ACALABRUTINIBE,
637,NITRENDIPINO,
638,CHAMAEMELUM NOBILE (L.)ALL.,
639,GENTIANA LUTEA L.,
640,GLYCYRRHIZA GLABRA L.,
641,MATRICARIA CHAMOMILLA L.,
642,CLORIDRATO DE IRINOTECANO,
643,CLORIDRATO DE IRINOTECANO TRIIDRATADO,
644,METRONIDAZOL,
645,AMINAFTONA,
646,VANDETANIBE,
647,IODETO DE SÓDIO 131I,
648,FINASTERIDA,
649,CARBAMAZEPINA,
650,LEVODOPA,
651,CARBIDOPA MONOIDRATADA,
652,FENOBARBITAL,
653,FENOBARBITAL SÓDICO,
654,CARBOCISTEÍNA,
655,CLORETO DE TÁLIO (201 TL),
656,CARVEDILOL,
657,DIGOXINA,
658,CLORIDRATO DE DEXRAZOXANO,
659,CLORIDRATO DE DILTIAZEM,
660,SILYBUM MARIANUM (L.) GAERTN,
661,MESILATO DE DOXAZOSINA,
662,CLORIDRATO DE CARNITINA,
663,CLORIDRATO DE LEVOLISINA,
664,CLORIDRATO DE LEVOCARNITINA,
665,CARVÃO VEGETAL ATIVADO,
666,SULFETO DE SELÊNIO,
667,AESCULUS HIPPOCASTANUM L.,
668,RUTINA,
669,SMILAX PAPIRACEA,
670,POLYGONUM ACRE H.B.K.,
671,CROTON HELIOTROPIIFOLIUS KUNTH,
672,PAULLINIA CUPANA KUNTH,
673,TRICHILIA CATIGUA A.JUSS.,
674,EQUISETUM ARVENSE L.,
675,NITROFURAZONA,
676,ACETATO DE TOCOFEROL,
677,ASPARTATO DE MAGNÉSIO,
678,ASPARTATO DE POTÁSSIO,
679,ÁCIDO ASCÓRBICO 90%,
680,ZINCO,
681,CILOSTAZOL,
682,CEFACLOR MONOIDRATADO,
683,CEFADROXILA,
684,CEFALEXINA MONOIDRATADA,
685,CEFALEXINA,
686,CEFACLOR,
687,MESILATO DE DI-HIDROERGOTAMINA,
688,CEFALOTINA SODICA,
689,CEFTAZIDIMA PENTAIDRATADA,
690,CEFAZOLINA SÓDICA,
691,CEFOTAXIMA SÓDICA,
692,CEFOXITINA SÓDICA,
693,CEFPROZILA,
694,CEFTAZIDIMA,
695,CEFTRIAXONA DISSÓDICA HEMIEPTAIDRATADA,
696,CEFTRIAXONA SÓDICA,
697,CEFUROXIMA SÓDICA,
698,CELECOXIBE,
699,MICOFENOLATO DE MOFETILA,
700,CENTELLA ASIATICA (L.) URB.,
701,FLUCONAZOL,
702,MARAVIROQUE,
703,CLORIDRATO DE TERBINAFINA,
704,IMIGLUCERASE,
705,COCARBOXILASE,
706,DEXTROALFATOCOFEROL,
707,RIBOFLAVINA FOSFATO DE SÓDIO,
708,HIDROXIQUINOLINA,
709,TROLAMINA,
710,HPV-16 L1,
711,HPV-18 L1,
712,DICLORIDRATO DE CETIRIZINA,
713,CETOTIFENO,
714,ACETATO DE CETRORRELIX,
715,TARTARATO DE VARENICLINA,
716,CLORIDRATO DE BETAÍNA,
717,RACEMETIONINA,
718,MESALAZINA,
719,TADALAFILA,
720,CIPROFIBRATO,
721,BACITRACINA DE ZINCO,
722,CICLETANINE,
723,CLORIDRATO DE CICLOPENTOLATO,
724,TROPICAMIDA,
725,CICLOPIROX OLAMINA,
726,VALERATO DE ESTRADIOL,
727,CICLOSPORINA,
728,NIMOTUZUMABE,
729,MALEATO DE CLORFENAMINA,
730,CIMETIDINA,
731,CERTOLIZUMABE PEGOL,
732,CINARIZINA,
733,CLORIDRATO DE TETRACICLINA,
734,MONONITRATO DE ISOSSORBIDA,
735,LACTATO DE BIPERIDENO,
736,CLORIDRATO DE CIMETIDINA,
737,CIPROFLOXACINO,
738,LEVOFLOXACINA,
739,CANTHARIS VESICATORIA,
740,THUYA OCCIDENTALIS,
741,HIDROBROMETO DE CITALOPRAM (PORT. 344/98 LISTA C 1),
742,CITALOPRAM,
743,CLORIDRATO DE PRILOCAÍNA,
744,FELIPRESSINA,
745,CITARABINA,
746,LOMUSTINA,
747,CITRATO DE TAMOXIFENO,
748,COLCHICINA,
749,CLORIDRATO DE NAFAZOLINA,
750,MALEATO DE FENIRAMINA,
